,Country,Happiness Rank,Happiness Score,Family,Freedom,Generosity,GDP,LE,Trust,Year
0,Switzerland,1.0,7.587,1.34951,0.66557,0.29678,1.39651,0.94143,0.41978,2015
1,Iceland,2.0,7.561,1.40223,0.62877,0.4363,1.30232,0.94784,0.14145,2015
2,Denmark,3.0,7.527,1.36058,0.64938,0.34139,1.32548,0.87464,0.48357,2015
3,Norway,4.0,7.522,1.33095,0.66973,0.34699,1.459,0.88521,0.36503,2015
4,Canada,5.0,7.427,1.32261,0.63297,0.45811,1.32629,0.90563,0.32957,2015
5,Finland,6.0,7.406,1.31826,0.64169,0.23351,1.29025,0.88911,0.41372,2015
6,Netherlands,7.0,7.378,1.28017,0.61576,0.4761,1.32944,0.89284,0.31814,2015
7,Sweden,8.0,7.364,1.28907,0.6598,0.36262,1.33171,0.91087,0.43844,2015
8,New Zealand,9.0,7.286,1.31967,0.63938,0.47501,1.25018,0.90837,0.42922,2015
9,Australia,10.0,7.284,1.30923,0.65124,0.43562,1.33358,0.93156,0.35637,2015
10,Israel,11.0,7.278,1.22393,0.41319,0.33172,1.22857,0.91387,0.07785,2015
11,Costa Rica,12.0,7.226,1.23788,0.63376,0.25497,0.95578,0.86027,0.10583,2015
12,Austria,13.0,7.2,1.29704,0.62433,0.33088,1.33723,0.89042,0.18676,2015
13,Mexico,14.0,7.187,0.91451,0.48181,0.14074,1.02054,0.81444,0.21312,2015
14,United States,15.0,7.119,1.24711,0.54604,0.40105,1.39451,0.86179,0.1589,2015
15,Brazil,16.0,6.983,1.23287,0.49049,0.14574,0.98124,0.69702,0.17521,2015
16,Luxembourg,17.0,6.946,1.21963,0.61583,0.28034,1.56391,0.91894,0.37798,2015
17,Ireland,18.0,6.94,1.36948,0.61777,0.45901,1.33596,0.89533,0.28703,2015
18,Belgium,19.0,6.937,1.28566,0.5845,0.2225,1.30782,0.89667,0.2254,2015
19,United Arab Emirates,20.0,6.901,1.12575,0.64157,0.26428,1.42727,0.80925,0.38583,2015
20,United Kingdom,21.0,6.867,1.28548,0.59625,0.51912,1.26637,0.90943,0.32067,2015
21,Oman,22.0,6.853,1.08182,0.63274,0.21542,1.36011,0.76276,0.32524,2015
22,Venezuela,23.0,6.81,1.25596,0.42908,0.05841,1.04424,0.72052,0.11069,2015
23,Singapore,24.0,6.798,1.02,0.54252,0.31105,1.52186,1.02525,0.4921,2015
24,Panama,25.0,6.786,1.1985,0.5421,0.24434,1.06353,0.79661,0.0927,2015
25,Germany,26.0,6.75,1.29937,0.61477,0.28214,1.32792,0.89186,0.21843,2015
26,Chile,27.0,6.67,1.12447,0.44132,0.33363,1.10715,0.85857,0.12869,2015
27,Qatar,28.0,6.611,1.0786,0.6404,0.32573,1.69042,0.79733,0.52208,2015
28,France,29.0,6.575,1.26038,0.55011,0.12332,1.27778,0.94579,0.20646,2015
29,Argentina,30.0,6.574,1.24823,0.44974,0.11451,1.05351,0.78723,0.08484,2015
30,Czech Republic,31.0,6.505,1.20643,0.46364,0.10686,1.17898,0.84483,0.02652,2015
31,Uruguay,32.0,6.485,1.2089,0.60362,0.2324,1.06166,0.8116,0.24558,2015
32,Colombia,33.0,6.477,1.24018,0.53466,0.18401,0.91861,0.69077,0.0512,2015
33,Thailand,34.0,6.455,1.26504,0.55664,0.5763,0.9669,0.7385,0.03187,2015
34,Saudi Arabia,35.0,6.411,1.08393,0.31048,0.13706,1.39541,0.72025,0.32524,2015
35,Spain,36.0,6.329,1.31379,0.45951,0.18227,1.23011,0.95562,0.06398,2015
36,Malta,37.0,6.302,1.30203,0.60365,0.51752,1.2074,0.88721,0.13586,2015
37,Taiwan,38.0,6.298,1.07617,0.3974,0.25376,1.29098,0.8753,0.08129,2015
38,Kuwait,39.0,6.295,1.16594,0.55499,0.16228,1.55422,0.72492,0.25609,2015
39,Suriname,40.0,6.269,0.972,0.59657,0.16991,0.99534,0.6082,0.13633,2015
40,Trinidad and Tobago,41.0,6.168,1.18354,0.55884,0.31844,1.21183,0.61483,0.0114,2015
41,El Salvador,42.0,6.13,1.02507,0.4035,0.10692,0.76454,0.67737,0.11776,2015
42,Guatemala,43.0,6.123,1.04356,0.57733,0.27489,0.74553,0.64425,0.09472,2015
43,Uzbekistan,44.0,6.003,1.34043,0.65821,0.22837,0.63244,0.59772,0.30826,2015
44,Slovakia,45.0,5.995,1.26999,0.31751,0.16893,1.16891,0.78902,0.03431,2015
45,Japan,46.0,5.987,1.25712,0.49615,0.10705,1.27074,0.99111,0.1806,2015
46,South Korea,47.0,5.984,0.95774,0.33208,0.18557,1.24461,0.96538,0.07857,2015
47,Ecuador,48.0,5.975,0.99903,0.48574,0.11541,0.86402,0.79075,0.1809,2015
48,Bahrain,49.0,5.96,1.21624,0.45492,0.17362,1.32376,0.74716,0.306,2015
49,Italy,50.0,5.948,1.19777,0.26236,0.22823,1.25114,0.95446,0.02901,2015
50,Bolivia,51.0,5.89,0.97841,0.57414,0.20536,0.68133,0.5392,0.088,2015
51,Moldova,52.0,5.889,1.01528,0.32818,0.20951,0.59448,0.61826,0.01615,2015
52,Paraguay,53.0,5.878,1.30477,0.53899,0.3424,0.75985,0.66098,0.08242,2015
53,Kazakhstan,54.0,5.855,1.12241,0.51649,0.11827,1.12254,0.64368,0.08454,2015
54,Slovenia,55.0,5.848,1.27385,0.60855,0.25328,1.18498,0.87337,0.03787,2015
55,Lithuania,56.0,5.833,1.25745,0.21342,0.02641,1.14723,0.73128,0.01031,2015
56,Nicaragua,57.0,5.828,1.14184,0.55475,0.27815,0.59325,0.74314,0.19317,2015
57,Peru,58.0,5.824,0.97459,0.41496,0.14982,0.90019,0.73017,0.05989,2015
58,Belarus,59.0,5.813,1.23289,0.37938,0.11046,1.03192,0.73608,0.1909,2015
59,Poland,60.0,5.791,1.27948,0.53122,0.16759,1.12555,0.77903,0.04212,2015
60,Malaysia,61.0,5.77,1.07023,0.53024,0.33075,1.12486,0.72394,0.10501,2015
61,Croatia,62.0,5.759,0.79624,0.25883,0.05444,1.08254,0.78805,0.0243,2015
62,Libya,63.0,5.754,1.11862,0.41668,0.18295,1.13145,0.7038,0.11023,2015
63,Russia,64.0,5.716,1.23617,0.36679,0.00199,1.13764,0.66926,0.03005,2015
64,Jamaica,65.0,5.709,1.15102,0.50442,0.2123,0.81038,0.68741,0.02299,2015
65,North Cyprus,66.0,5.695,1.07008,0.49027,0.26169,1.20806,0.92356,0.1428,2015
66,Cyprus,67.0,5.689,0.89318,0.40672,0.30638,1.20813,0.92356,0.06146,2015
67,Algeria,68.0,5.605,1.07772,0.28579,0.07822,0.93929,0.61766,0.17383,2015
68,Kosovo,69.0,5.589,0.81198,0.24749,0.2831,0.80148,0.63132,0.04741,2015
69,Turkmenistan,70.0,5.548,1.22668,0.4761,0.16979,0.95847,0.53886,0.30844,2015
70,Mauritius,71.0,5.477,0.98521,0.56066,0.37744,1.00761,0.7095,0.07521,2015
71,Hong Kong,72.0,5.474,1.05818,0.59608,0.39478,1.38604,1.01328,0.37124,2015
72,Estonia,73.0,5.429,1.22791,0.44888,0.0868,1.15174,0.77361,0.15184,2015
73,Indonesia,74.0,5.399,1.08708,0.46611,0.51535,0.82827,0.63793,0.0,2015
74,Vietnam,75.0,5.36,0.91226,0.59444,0.1686,0.63216,0.74676,0.10441,2015
75,Turkey,76.0,5.332,0.94632,0.22815,0.12253,1.06098,0.73172,0.15746,2015
76,Kyrgyzstan,77.0,5.286,1.15115,0.43477,0.3003,0.47428,0.65088,0.04232,2015
77,Nigeria,78.0,5.268,0.90432,0.34334,0.27233,0.65435,0.16007,0.0403,2015
78,Bhutan,79.0,5.253,1.10395,0.53206,0.47998,0.77042,0.57407,0.15445,2015
79,Azerbaijan,80.0,5.212,0.93793,0.3703,0.07799,1.02389,0.64045,0.16065,2015
80,Pakistan,81.0,5.194,0.41411,0.12102,0.33671,0.59543,0.51466,0.10464,2015
81,Jordan,82.0,5.192,1.05392,0.40661,0.11053,0.90198,0.69639,0.14293,2015
82,Montenegro,82.0,5.192,0.90557,0.1826,0.1614,0.97438,0.72521,0.14296,2015
83,China,84.0,5.14,0.94675,0.51697,0.08185,0.89012,0.81658,0.02781,2015
84,Zambia,85.0,5.129,0.91612,0.48827,0.19591,0.47038,0.29924,0.12468,2015
85,Romania,86.0,5.124,0.88588,0.35068,0.13748,1.04345,0.7689,0.00649,2015
86,Serbia,87.0,5.123,1.00964,0.20107,0.19231,0.92053,0.74836,0.02617,2015
87,Portugal,88.0,5.102,1.13935,0.51469,0.13719,1.15991,0.87519,0.01078,2015
88,Latvia,89.0,5.098,1.09562,0.29671,0.18226,1.11312,0.72437,0.06332,2015
89,Philippines,90.0,5.073,1.03516,0.62545,0.24991,0.70532,0.58114,0.12279,2015
90,Somaliland region,91.0,5.057,0.95152,0.46582,0.50318,0.18847,0.43873,0.39928,2015
91,Morocco,92.0,5.013,0.64095,0.41691,0.07172,0.73479,0.60954,0.08546,2015
92,Macedonia,93.0,5.007,1.00232,0.33457,0.22359,0.91851,0.73545,0.05327,2015
93,Mozambique,94.0,4.971,1.02626,0.34037,0.22269,0.08308,0.09131,0.15603,2015
94,Albania,95.0,4.959,0.80434,0.35733,0.14272,0.87867,0.81325,0.06413,2015
95,Bosnia and Herzegovina,96.0,4.949,0.91916,0.09245,0.24808,0.83223,0.79081,0.00227,2015
96,Lesotho,97.0,4.898,1.04103,0.31767,0.16388,0.37545,0.07612,0.12504,2015
97,Dominican Republic,98.0,4.885,1.17202,0.57672,0.21684,0.89537,0.66825,0.14234,2015
98,Laos,99.0,4.876,0.73803,0.59591,0.42192,0.59066,0.54909,0.24249,2015
99,Mongolia,100.0,4.874,1.3006,0.43626,0.3323,0.82819,0.60268,0.02666,2015
100,Swaziland,101.0,4.867,1.07284,0.30658,0.18259,0.71206,0.07566,0.0306,2015
101,Greece,102.0,4.857,0.92933,0.07699,0.0,1.15406,0.88213,0.01397,2015
102,Lebanon,103.0,4.839,0.80001,0.33916,0.21854,1.02564,0.83947,0.04582,2015
103,Hungary,104.0,4.8,1.20215,0.32112,0.128,1.12094,0.75905,0.02758,2015
104,Honduras,105.0,4.788,0.95348,0.40148,0.23027,0.59532,0.6951,0.06825,2015
105,Tajikistan,106.0,4.786,0.85563,0.47216,0.22974,0.39047,0.57379,0.15072,2015
106,Tunisia,107.0,4.739,0.60429,0.26268,0.06431,0.88113,0.73793,0.06358,2015
107,Palestinian Territories,108.0,4.715,0.92558,0.24499,0.11251,0.59867,0.66015,0.12905,2015
108,Bangladesh,109.0,4.694,0.43106,0.4082,0.21222,0.39753,0.60164,0.12569,2015
109,Iran,110.0,4.686,0.54447,0.30033,0.38086,1.0088,0.69805,0.05863,2015
110,Ukraine,111.0,4.681,1.20278,0.25123,0.15275,0.79907,0.6739,0.02961,2015
111,Iraq,112.0,4.677,0.81889,0.0,0.17922,0.98549,0.60237,0.13788,2015
112,South Africa,113.0,4.642,1.18468,0.33207,0.11973,0.92049,0.27688,0.08884,2015
113,Ghana,114.0,4.633,0.67954,0.42342,0.23087,0.54558,0.40132,0.04355,2015
114,Zimbabwe,115.0,4.61,1.03276,0.25861,0.18987,0.271,0.33475,0.08079,2015
115,Liberia,116.0,4.571,0.78968,0.28531,0.24362,0.0712,0.34201,0.06232,2015
116,India,117.0,4.565,0.38174,0.39786,0.26475,0.64499,0.51529,0.08492,2015
117,Sudan,118.0,4.55,1.01404,0.10081,0.19062,0.52107,0.36878,0.1466,2015
118,Haiti,119.0,4.518,0.74302,0.24425,0.46187,0.26673,0.38847,0.17175,2015
119,Congo (Kinshasa),120.0,4.517,1.0012,0.22605,0.24834,0.0,0.09806,0.07625,2015
120,Nepal,121.0,4.514,0.86449,0.38282,0.32296,0.35997,0.56874,0.05907,2015
121,Ethiopia,122.0,4.512,0.60406,0.4345,0.24325,0.19073,0.44055,0.15048,2015
122,Sierra Leone,123.0,4.507,0.95571,0.4084,0.21488,0.33024,0.0,0.08786,2015
123,Mauritania,124.0,4.436,0.86908,0.24232,0.219,0.45407,0.35874,0.17461,2015
124,Kenya,125.0,4.419,0.99876,0.42215,0.37542,0.36471,0.41435,0.05839,2015
125,Djibouti,126.0,4.369,0.59207,0.46074,0.18093,0.44025,0.36291,0.28105,2015
126,Armenia,127.0,4.35,0.77711,0.19847,0.07855,0.76821,0.7299,0.039,2015
127,Botswana,128.0,4.332,1.10464,0.49495,0.10461,0.99355,0.04776,0.12474,2015
128,Myanmar,129.0,4.307,0.70905,0.44017,0.79588,0.27108,0.48246,0.19034,2015
129,Georgia,130.0,4.297,0.38562,0.40577,0.05547,0.7419,0.72926,0.38331,2015
130,Malawi,131.0,4.292,0.41134,0.43054,0.33128,0.01604,0.22562,0.06977,2015
131,Sri Lanka,132.0,4.271,1.01905,0.53726,0.40828,0.83524,0.70806,0.09179,2015
132,Cameroon,133.0,4.252,0.88767,0.49309,0.20618,0.4225,0.23402,0.05786,2015
133,Bulgaria,134.0,4.218,1.10614,0.30587,0.11921,1.01216,0.76649,0.00872,2015
134,Egypt,135.0,4.194,0.747,0.17288,0.11291,0.8818,0.61712,0.06324,2015
135,Yemen,136.0,4.077,0.68093,0.35571,0.09131,0.54649,0.40064,0.07854,2015
136,Angola,137.0,4.033,0.8604,0.10384,0.12344,0.75778,0.16683,0.07122,2015
137,Mali,138.0,3.995,1.03526,0.38857,0.18798,0.26074,0.20583,0.12352,2015
138,Congo (Brazzaville),139.0,3.989,0.6629,0.41466,0.12388,0.67866,0.31051,0.11686,2015
139,Comoros,140.0,3.956,0.79273,0.22917,0.17441,0.23906,0.36315,0.199,2015
140,Uganda,141.0,3.931,1.13299,0.45727,0.29066,0.21102,0.33861,0.07267,2015
141,Senegal,142.0,3.904,0.97619,0.36772,0.20843,0.36498,0.4354,0.10713,2015
142,Gabon,143.0,3.896,0.90528,0.31914,0.06822,1.06024,0.43372,0.11091,2015
143,Niger,144.0,3.845,0.77265,0.47692,0.19387,0.0694,0.29707,0.15639,2015
144,Cambodia,145.0,3.819,0.62736,0.66246,0.40359,0.46038,0.61114,0.07247,2015
145,Tanzania,146.0,3.781,1.00268,0.32878,0.34377,0.2852,0.38215,0.05747,2015
146,Madagascar,147.0,3.681,0.66801,0.19184,0.21333,0.20824,0.46721,0.08124,2015
147,Central African Republic,148.0,3.678,0.0,0.48879,0.23835,0.0785,0.06699,0.08289,2015
148,Chad,149.0,3.667,0.76062,0.23501,0.18386,0.34193,0.1501,0.05269,2015
149,Guinea,150.0,3.656,0.46475,0.37725,0.28657,0.17417,0.24009,0.12139,2015
150,Ivory Coast,151.0,3.655,0.77115,0.46866,0.20165,0.46534,0.15185,0.17922,2015
151,Burkina Faso,152.0,3.587,0.85188,0.39493,0.21747,0.25812,0.27125,0.12832,2015
152,Afghanistan,153.0,3.575,0.30285,0.23414,0.3651,0.31982,0.30335,0.09719,2015
153,Rwanda,154.0,3.465,0.7737,0.59201,0.22628,0.22208,0.42864,0.55191,2015
154,Benin,155.0,3.34,0.35386,0.4845,0.1826,0.28665,0.3191,0.0801,2015
155,Syria,156.0,3.006,0.47489,0.15684,0.47179,0.6632,0.72193,0.18906,2015
156,Burundi,157.0,2.905,0.41587,0.1185,0.19727,0.0153,0.22396,0.10062,2015
157,Togo,158.0,2.839,0.13995,0.36453,0.16681,0.20868,0.28443,0.10731,2015
0,Denmark,1.0,7.526,1.16374,0.57941,0.36171,1.44178,0.79504,0.44453,2016
1,Switzerland,2.0,7.509,1.14524,0.58557,0.28083,1.52733,0.86303,0.41203,2016
2,Iceland,3.0,7.501,1.18326,0.56624,0.47678,1.42666,0.86733,0.14975,2016
3,Norway,4.0,7.498,1.1269,0.59609,0.37895,1.57744,0.79579,0.35776,2016
4,Finland,5.0,7.413,1.13464,0.57104,0.25492,1.40598,0.81091,0.41004,2016
5,Canada,6.0,7.404,1.0961,0.5737,0.44834,1.44015,0.8276,0.31329,2016
6,Netherlands,7.0,7.339,1.02912,0.55211,0.47416,1.46468,0.81231,0.29927,2016
7,New Zealand,8.0,7.334,1.17278,0.58147,0.49401,1.36066,0.83096,0.41904,2016
8,Australia,9.0,7.313,1.10476,0.56837,0.47407,1.44443,0.8512,0.32331,2016
9,Sweden,10.0,7.291,1.08764,0.58218,0.38254,1.45181,0.83121,0.40867,2016
10,Israel,11.0,7.267,0.99537,0.36432,0.32288,1.33766,0.84917,0.08728,2016
11,Austria,12.0,7.119,1.08383,0.54355,0.32865,1.45038,0.80565,0.21348,2016
12,United States,13.0,7.104,1.04782,0.48163,0.41077,1.50796,0.779,0.14868,2016
13,Costa Rica,14.0,7.087,1.02152,0.55225,0.22553,1.06879,0.76146,0.10547,2016
14,Puerto Rico,15.0,7.039,1.08113,0.46823,0.22202,1.35943,0.77758,0.12275,2016
15,Germany,16.0,6.994,1.09774,0.53466,0.30452,1.44787,0.81487,0.28551,2016
16,Brazil,17.0,6.952,1.03938,0.40425,0.15776,1.08754,0.61415,0.14166,2016
17,Belgium,18.0,6.929,1.05249,0.51354,0.2424,1.42539,0.81959,0.26248,2016
18,Ireland,19.0,6.907,1.16157,0.54008,0.44963,1.48341,0.81455,0.29754,2016
19,Luxembourg,20.0,6.871,1.03999,0.5487,0.27571,1.69752,0.84542,0.35329,2016
20,Mexico,21.0,6.778,0.7146,0.37709,0.11735,1.11508,0.71143,0.18355,2016
21,Singapore,22.0,6.739,0.86758,0.4877,0.32706,1.64555,0.94719,0.46987,2016
22,United Kingdom,23.0,6.725,1.08672,0.50036,0.50156,1.40283,0.80991,0.27399,2016
23,Chile,24.0,6.705,0.90587,0.37789,0.31595,1.2167,0.81883,0.11451,2016
24,Panama,25.0,6.701,0.98912,0.48927,0.2418,1.18306,0.70835,0.08423,2016
25,Argentina,26.0,6.65,1.06612,0.42284,0.10989,1.15137,0.69711,0.07296,2016
26,Czech Republic,27.0,6.596,1.00793,0.41418,0.09929,1.30915,0.76376,0.03986,2016
27,United Arab Emirates,28.0,6.573,0.87114,0.56215,0.26591,1.57352,0.72993,0.35561,2016
